CosteSocial,CosteEmocional,RiesgoIngreso,testApgar5,partoInstrumental,testCoombsIsoRHHijo,Terapia1,Utility
0,0,0,0,0,0,0,0.6561222
0,0,0,0,0,0,1,0.72735
0,0,0,0,0,0,2,0.7267885
0,0,0,0,0,0,3,0.7061542
0,0,0,0,0,1,0,0.6561222
0,0,0,0,0,1,1,0.72735
0,0,0,0,0,1,2,0.7267885
0,0,0,0,0,1,3,0.7061542
0,0,0,0,1,0,0,0.6561222
0,0,0,0,1,0,1,0.72735
0,0,0,0,1,0,2,0.7267885
0,0,0,0,1,0,3,0.7061542
0,0,0,0,1,1,0,0.6561222
0,0,0,0,1,1,1,0.72735
0,0,0,0,1,1,2,0.7267885
0,0,0,0,1,1,3,0.7061542
0,0,0,1,0,0,0,0.6561222
0,0,0,1,0,0,1,0.72735
0,0,0,1,0,0,2,0.7267885
0,0,0,1,0,0,3,0.7061542
0,0,0,1,0,1,0,0.6561222
0,0,0,1,0,1,1,0.72735
0,0,0,1,0,1,2,0.7267885
0,0,0,1,0,1,3,0.7061542
0,0,0,1,1,0,0,0.6561222
0,0,0,1,1,0,1,0.72735
0,0,0,1,1,0,2,0.7267885
0,0,0,1,1,0,3,0.7061542
0,0,0,1,1,1,0,0.6561222
0,0,0,1,1,1,1,0.72735
0,0,0,1,1,1,2,0.7267885
0,0,0,1,1,1,3,0.7061542
0,0,0,2,0,0,0,0.6561222
0,0,0,2,0,0,1,0.72735
0,0,0,2,0,0,2,0.7267885
0,0,0,2,0,0,3,0.7061542
0,0,0,2,0,1,0,0.6561222
0,0,0,2,0,1,1,0.72735
0,0,0,2,0,1,2,0.7267885
0,0,0,2,0,1,3,0.7061542
0,0,0,2,1,0,0,0.6561222
0,0,0,2,1,0,1,0.72735
0,0,0,2,1,0,2,0.7267885
0,0,0,2,1,0,3,0.7061542
0,0,0,2,1,1,0,0.6561222
0,0,0,2,1,1,1,0.72735
0,0,0,2,1,1,2,0.7267885
0,0,0,2,1,1,3,0.7061542
0,0,1,0,0,0,0,0.6608734
0,0,1,0,0,0,1,0.6360514
0,0,1,0,0,0,2,0.640482
0,0,1,0,0,0,3,0.6482588
0,0,1,0,0,1,0,0.6608734
0,0,1,0,0,1,1,0.6360514
0,0,1,0,0,1,2,0.640482
0,0,1,0,0,1,3,0.6482588
0,0,1,0,1,0,0,0.6608734
0,0,1,0,1,0,1,0.6360514
0,0,1,0,1,0,2,0.640482
0,0,1,0,1,0,3,0.6482588
0,0,1,0,1,1,0,0.6608734
0,0,1,0,1,1,1,0.6360514
0,0,1,0,1,1,2,0.640482
0,0,1,0,1,1,3,0.6482588
0,0,1,1,0,0,0,0.6608734
0,0,1,1,0,0,1,0.6360514
0,0,1,1,0,0,2,0.640482
0,0,1,1,0,0,3,0.6482588
0,0,1,1,0,1,0,0.6608734
0,0,1,1,0,1,1,0.6360514
0,0,1,1,0,1,2,0.640482
0,0,1,1,0,1,3,0.6482588
0,0,1,1,1,0,0,0.6608734
0,0,1,1,1,0,1,0.6360514
0,0,1,1,1,0,2,0.640482
0,0,1,1,1,0,3,0.6482588
0,0,1,1,1,1,0,0.6608734
0,0,1,1,1,1,1,0.6360514
0,0,1,1,1,1,2,0.640482
0,0,1,1,1,1,3,0.6482588
0,0,1,2,0,0,0,0.6608734
0,0,1,2,0,0,1,0.6360514
0,0,1,2,0,0,2,0.640482
0,0,1,2,0,0,3,0.6482588
0,0,1,2,0,1,0,0.6608734
0,0,1,2,0,1,1,0.6360514
0,0,1,2,0,1,2,0.640482
0,0,1,2,0,1,3,0.6482588
0,0,1,2,1,0,0,0.6608734
0,0,1,2,1,0,1,0.6360514
0,0,1,2,1,0,2,0.640482
0,0,1,2,1,0,3,0.6482588
0,0,1,2,1,1,0,0.6608734
0,0,1,2,1,1,1,0.6360514
0,0,1,2,1,1,2,0.640482
0,0,1,2,1,1,3,0.6482588
0,0,2,0,0,0,0,0.5998982
0,0,2,0,0,0,1,0.4712156
0,0,2,0,0,0,2,0.6175699
0,0,2,0,0,0,3,0.6127469
0,0,2,0,0,1,0,0.5998982
0,0,2,0,0,1,1,0.4712156
0,0,2,0,0,1,2,0.6175699
0,0,2,0,0,1,3,0.6127469
0,0,2,0,1,0,0,0.5998982
0,0,2,0,1,0,1,0.4712156
0,0,2,0,1,0,2,0.6175699
0,0,2,0,1,0,3,0.6127469
0,0,2,0,1,1,0,0.5998982
0,0,2,0,1,1,1,0.4712156
0,0,2,0,1,1,2,0.6175699
0,0,2,0,1,1,3,0.6127469
0,0,2,1,0,0,0,0.5998982
0,0,2,1,0,0,1,0.4712156
0,0,2,1,0,0,2,0.6175699
0,0,2,1,0,0,3,0.6127469
0,0,2,1,0,1,0,0.5998982
0,0,2,1,0,1,1,0.4712156
0,0,2,1,0,1,2,0.6175699
0,0,2,1,0,1,3,0.6127469
0,0,2,1,1,0,0,0.5998982
0,0,2,1,1,0,1,0.4712156
0,0,2,1,1,0,2,0.6175699
0,0,2,1,1,0,3,0.6127469
0,0,2,1,1,1,0,0.5998982
0,0,2,1,1,1,1,0.4712156
0,0,2,1,1,1,2,0.6175699
0,0,2,1,1,1,3,0.6127469
0,0,2,2,0,0,0,0.5998982
0,0,2,2,0,0,1,0.4712156
0,0,2,2,0,0,2,0.6175699
0,0,2,2,0,0,3,0.6127469
0,0,2,2,0,1,0,0.5998982
0,0,2,2,0,1,1,0.4712156
0,0,2,2,0,1,2,0.6175699
0,0,2,2,0,1,3,0.6127469
0,0,2,2,1,0,0,0.5998982
0,0,2,2,1,0,1,0.4712156
0,0,2,2,1,0,2,0.6175699
0,0,2,2,1,0,3,0.6127469
0,0,2,2,1,1,0,0.5998982
0,0,2,2,1,1,1,0.4712156
0,0,2,2,1,1,2,0.6175699
0,0,2,2,1,1,3,0.6127469
0,0,3,0,0,0,0,0.6314699
0,0,3,0,0,0,1,0.7230358
0,0,3,0,0,0,2,0.7232939
0,0,3,0,0,0,3,0.7181011
0,0,3,0,0,1,0,0.6314699
0,0,3,0,0,1,1,0.7230358
0,0,3,0,0,1,2,0.7232939
0,0,3,0,0,1,3,0.7181011
0,0,3,0,1,0,0,0.6314699
0,0,3,0,1,0,1,0.7230358
0,0,3,0,1,0,2,0.7232939
0,0,3,0,1,0,3,0.7181011
0,0,3,0,1,1,0,0.6314699
0,0,3,0,1,1,1,0.7230358
0,0,3,0,1,1,2,0.7232939
