"","CosteEmocional","RiesgoIngreso","testApgar5","partoInstrumental","testCoombsIsoRHHijo","Terapia1","Utility"
"2",0,0,0,0,0,1,0.72735
"6",0,0,0,0,1,1,0.72735
"10",0,0,0,1,0,1,0.72735
"14",0,0,0,1,1,1,0.72735
"18",0,0,1,0,0,1,0.72735
"22",0,0,1,0,1,1,0.72735
"26",0,0,1,1,0,1,0.72735
"30",0,0,1,1,1,1,0.72735
"34",0,0,2,0,0,1,0.72735
"38",0,0,2,0,1,1,0.72735
"42",0,0,2,1,0,1,0.72735
"46",0,0,2,1,1,1,0.72735
"49",0,1,0,0,0,0,0.6608734
"53",0,1,0,0,1,0,0.6608734
"57",0,1,0,1,0,0,0.6608734
"61",0,1,0,1,1,0,0.6608734
"65",0,1,1,0,0,0,0.6608734
"69",0,1,1,0,1,0,0.6608734
"73",0,1,1,1,0,0,0.6608734
"77",0,1,1,1,1,0,0.6608734
"81",0,1,2,0,0,0,0.6608734
"85",0,1,2,0,1,0,0.6608734
"89",0,1,2,1,0,0,0.6608734
"93",0,1,2,1,1,0,0.6608734
"99",0,2,0,0,0,2,0.6175699
"103",0,2,0,0,1,2,0.6175699
"107",0,2,0,1,0,2,0.6175699
"111",0,2,0,1,1,2,0.6175699
"115",0,2,1,0,0,2,0.6175699
"119",0,2,1,0,1,2,0.6175699
"123",0,2,1,1,0,2,0.6175699
"127",0,2,1,1,1,2,0.6175699
"131",0,2,2,0,0,2,0.6175699
"135",0,2,2,0,1,2,0.6175699
"139",0,2,2,1,0,2,0.6175699
"143",0,2,2,1,1,2,0.6175699
"147",0,3,0,0,0,2,0.7232939
"151",0,3,0,0,1,2,0.7232939
"155",0,3,0,1,0,2,0.7232939
"159",0,3,0,1,1,2,0.7232939
"163",0,3,1,0,0,2,0.7232939
"167",0,3,1,0,1,2,0.7232939
"171",0,3,1,1,0,2,0.7232939
"175",0,3,1,1,1,2,0.7232939
"179",0,3,2,0,0,2,0.7232939
"183",0,3,2,0,1,2,0.7232939
"187",0,3,2,1,0,2,0.7232939
"191",0,3,2,1,1,2,0.7232939
"194",1,0,0,0,0,1,0.7456413
"198",1,0,0,0,1,1,0.7456413
"202",1,0,0,1,0,1,0.7456413
"206",1,0,0,1,1,1,0.7456413
"210",1,0,1,0,0,1,0.7456413
"214",1,0,1,0,1,1,0.7456413
"218",1,0,1,1,0,1,0.7456413
"222",1,0,1,1,1,1,0.7456413
"226",1,0,2,0,0,1,0.7456413
"230",1,0,2,0,1,1,0.7456413
"234",1,0,2,1,0,1,0.7456413
"238",1,0,2,1,1,1,0.7456413
"244",1,1,0,0,0,3,0.7757588
"248",1,1,0,0,1,3,0.7757588
"252",1,1,0,1,0,3,0.7757588
"256",1,1,0,1,1,3,0.7757588
"260",1,1,1,0,0,3,0.7757588
"264",1,1,1,0,1,3,0.7757588
"268",1,1,1,1,0,3,0.7757588
"272",1,1,1,1,1,3,0.7757588
"276",1,1,2,0,0,3,0.7757588
"280",1,1,2,0,1,3,0.7757588
"284",1,1,2,1,0,3,0.7757588
"288",1,1,2,1,1,3,0.7757588
"290",1,2,0,0,0,1,0.7941662
"294",1,2,0,0,1,1,0.7941662
"298",1,2,0,1,0,1,0.7941662
"302",1,2,0,1,1,1,0.7941662
"306",1,2,1,0,0,1,0.7941662
"310",1,2,1,0,1,1,0.7941662
"314",1,2,1,1,0,1,0.7941662
"318",1,2,1,1,1,1,0.7941662
"322",1,2,2,0,0,1,0.7941662
"326",1,2,2,0,1,1,0.7941662
"330",1,2,2,1,0,1,0.7941662
"334",1,2,2,1,1,1,0.7941662
"338",1,3,0,0,0,1,0.6528112
"342",1,3,0,0,1,1,0.6528112
"346",1,3,0,1,0,1,0.6528112
"350",1,3,0,1,1,1,0.6528112
"354",1,3,1,0,0,1,0.6528112
"358",1,3,1,0,1,1,0.6528112
"362",1,3,1,1,0,1,0.6528112
"366",1,3,1,1,1,1,0.6528112
"370",1,3,2,0,0,1,0.6528112
"374",1,3,2,0,1,1,0.6528112
"378",1,3,2,1,0,1,0.6528112
"382",1,3,2,1,1,1,0.6528112
"385",2,0,0,0,0,0,0.6000101
"389",2,0,0,0,1,0,0.6000101
"393",2,0,0,1,0,0,0.6000101
"397",2,0,0,1,1,0,0.6000101
"401",2,0,1,0,0,0,0.6000101
"405",2,0,1,0,1,0,0.6000101
"409",2,0,1,1,0,0,0.6000101
"413",2,0,1,1,1,0,0.6000101
"417",2,0,2,0,0,0,0.6000101
"421",2,0,2,0,1,0,0.6000101
"425",2,0,2,1,0,0,0.6000101
"429",2,0,2,1,1,0,0.6000101
"434",2,1,0,0,0,1,0.6498085
"438",2,1,0,0,1,1,0.6498085
"442",2,1,0,1,0,1,0.6498085
"446",2,1,0,1,1,1,0.6498085
"450",2,1,1,0,0,1,0.6498085
"454",2,1,1,0,1,1,0.6498085
"458",2,1,1,1,0,1,0.6498085
"462",2,1,1,1,1,1,0.6498085
"466",2,1,2,0,0,1,0.6498085
"470",2,1,2,0,1,1,0.6498085
"474",2,1,2,1,0,1,0.6498085
